,address,city,state,zip
181,2228  CAREFREE LN,ANTIOCH,TN,37013
182,5202  TUPELO ST,ANTIOCH,TN,37013
183,2436  SERENE DR,ANTIOCH,TN,37013
184,609  WALLACE CT,NASHVILLE,TN,37211
185,618  WALLACE CT,NASHVILLE,TN,37211
186,622  WALLACE CT,NASHVILLE,TN,37211
187,0  BOYDS HILLTOP DR,MADISON,TN,37115
188,604  WALLACE CT,NASHVILLE,TN,37211
189,621  WALLACE CT,NASHVILLE,TN,37211
190,619  WALLACE CT,NASHVILLE,TN,37211
191,606  WALLACE CT,NASHVILLE,TN,37211
192,630  WALLACE CT,NASHVILLE,TN,37211
193,351  KARA LN,NOLENSVILLE,TN,37135
194,602  WALLACE CT,NASHVILLE,TN,37211
195,612  WALLACE CT,NASHVILLE,TN,37211
196,5502  CENTRAL GROVE SQ,ANTIOCH,TN,37013
197,611  WALLACE CT,NASHVILLE,TN,37211
198,5227  TUPELO ST,ANTIOCH,TN,37013
199,304  LOIS ALY,NASHVILLE,TN,37214
200,1024  NAVE CT,NASHVILLE,TN,37214
201,1028  NAVE CT,NASHVILLE,TN,37214
202,626  WALLACE CT,NASHVILLE,TN,37211
203,2988  JENRY DR,NASHVILLE,TN,37214
204,2944  JENRY DR,NASHVILLE,TN,37214
205,6007A2  CALIFORNIA AVE,NASHVILLE,TN,37209
206,2241  CAREFREE LN,ANTIOCH,TN,37013
207,2508  PRAIRIE HILL DR,ANTIOCH,TN,37013
208,871  BLOOMDALE TRCE,HERMITAGE,TN,37076
209,3013  LARGE HOP LN,ANTIOCH,TN,37013
210,5060  SUNFLOWER LN,HERMITAGE,TN,37076
211,5229  TUPELO ST,ANTIOCH,TN,37013
212,5225  TUPELO ST,ANTIOCH,TN,37013
213,5203  TUPELO ST,ANTIOCH,TN,37013
214,5205  TUPELO ST,ANTIOCH,TN,37013
215,2146  BAYPORT AVE,OLD HICKORY,TN,37138
216,5508  CENTRAL GROVE SQ,ANTIOCH,TN,37013
217,5211  TUPELO ST,ANTIOCH,TN,37013
218,5500  CENTRAL GROVE SQ,ANTIOCH,TN,37013
219,5222  TUPELO ST,ANTIOCH,TN,37013
220,1201  SHIRE DR,ANTIOCH,TN,37013
221,5216  TUPELO ST,ANTIOCH,TN,37013
222,1213  SHIRE DR,ANTIOCH,TN,37013
223,2212  CAREFREE LN,ANTIOCH,TN,37013
224,2233  CAREFREE LN,ANTIOCH,TN,37013
225,2237  CAREFREE LN,ANTIOCH,TN,37013
226,2208  CAREFREE LN,ANTIOCH,TN,37013
227,2229  CAREFREE LN,ANTIOCH,TN,37013
